"~id","~labels","Address","distance","lan","CaseID","long"
"176","StreetLight","Intersection of DIAMOND ST and 20TH ST",0.009597474623882411,37.763797474994895,3655059,-122.43016157487642
"177","StreetLight","3951 18TH ST, SAN FRANCISCO, CA, 94114",0.013487050091605255,37.76734908332761,3669492,-122.4211067173117
"178","StreetLight","Intersection of MARKET ST and GLENDALE ST",0.009840792718277765,37.76389342604338,3654143,-122.43054664209909
"179","StreetLight","275 CHATTANOOGA ST, SAN FRANCISCO, CA, 94114",0.002940942432066713,37.75667336333685,3655164,-122.42404031187282
"180","StreetLight","995 DOLORES ST, SAN FRANCISCO, CA, 94110",0.0046743758964649575,37.7558050000281,3610156,-122.42183114974694
"181","StreetLight","67 WALLER ST, SAN FRANCISCO, CA, 94102",0.02555895678902796,37.77679963634099,3610139,-122.41315680656895
"182","StreetLight","96 28TH ST, SAN FRANCISCO, CA, 94110",0.01656839380334199,37.76091121081114,3610168,-122.41096661371147
"183","StreetLight","1480 DOLORES ST, SAN FRANCISCO, CA, 94131",0.011242980237524737,37.76022290111006,3610169,-122.41649475896244
"184","StreetLight","4087 17TH ST, SAN FRANCISCO, CA, 94114",0.014334410767603388,37.76880606309057,3615828,-122.43012280440992
"185","StreetLight","700 GUERRERO ST, SAN FRANCISCO, CA, 94110",0.014878506888674023,37.766705286458325,3603395,-122.41729948572846
"186","StreetLight","1050 DOLORES ST, SAN FRANCISCO, CA, 94114",0.0008061435201737747,37.754214851529234,3610160,-122.42611084133819
"187","StreetLight","185 DOLORES ST, SAN FRANCISCO, CA, 94103",0.017532171083270865,37.772451064657716,3610144,-122.42528660384498
"188","StreetLight","1425 SANCHEZ ST, SAN FRANCISCO, CA, 94131",0.0023041129816373618,37.75275197428154,3603613,-122.42575631306092
"189","StreetLight","148 VALLEY ST, SAN FRANCISCO, CA, 94131",0.010301213815394745,37.74472922348398,3610172,-122.42519225748273
"190","StreetLight","4216 24TH ST, SAN FRANCISCO, CA, 94114",0.004640019650604007,37.75359784878561,3601797,-122.43086457032662
"191","StreetLight","929 DOLORES ST, SAN FRANCISCO, CA, 94110",0.004736171334110149,37.75640507103778,3610159,-122.4219187198992
"192","StreetLight","1273 DOLORES ST, SAN FRANCISCO, CA, 94110",0.014413262321854647,37.7545004953539,3610166,-122.41202173082573
"193","StreetLight","945 DOLORES ST, SAN FRANCISCO, CA, 94110",0.005929677993848044,37.757319104866426,3610157,-122.42098930219416
"194","StreetLight","Intersection of 24TH ST and DIAMOND ST",0.012175421901908332,37.754671513137154,3601808,-122.43859988744686
"195","StreetLight","401 DOLORES ST, SAN FRANCISCO, CA, 94110",0.014548917014149655,37.76941013534691,3610076,-122.42476915221184
"196","StreetLight","2029 MARKET ST, SAN FRANCISCO, CA, 94114",0.020006768881830318,37.77496278986659,3694820,-122.42638193133509
"197","StreetLight","674 SANCHEZ ST, SAN FRANCISCO, CA, 94114",0.013727100106893566,37.76864712215828,3814950,-122.42543357544467
"198","StreetLight","Intersection of 16TH ST and MARKET ST",0.011404084917173598,37.76636015838154,3839358,-122.42642643079682
"199","StreetLight","546 LIBERTY ST, SAN FRANCISCO, CA, 94114",0.00923729640790983,37.76275718267663,3639087,-122.42148104075551
"200","StreetLight","2140 MARKET ST, SAN FRANCISCO, CA, 94114",0.018792638244620807,37.77303352215013,3757396,-122.42129270572849
"201","StreetLight","3184 MARKET ST, SAN FRANCISCO, CA, 94114",0.01532021748879018,37.7682286168902,3757295,-122.43407950075186
"202","StreetLight","87 DOLORES ST, SAN FRANCISCO, CA, 94103",0.02335996357460541,37.77831464152981,3803783,-122.4261724485605
"203","StreetLight","2317 MARKET ST, SAN FRANCISCO, CA, 94114",0.01122036664941866,37.766105883557216,3757254,-122.42768412108448
"204","StreetLight","Intersection of CASTRO ST and CLIPPER ST",0.003252388848181979,37.75803940155908,3661579,-122.42539284129288
"205","StreetLight","Intersection of CHURCH ST and MARKET ST",0.022389315176558754,37.77716240084426,3757395,-122.42357113909826
"206","StreetLight","3074 MARKET ST, SAN FRANCISCO, CA, 94114",0.015158718056794177,37.766999205633404,3757284,-122.43563375149992
"207","StreetLight","2301 MARKET ST, SAN FRANCISCO, CA, 94114",0.016680229487192576,37.77053555914215,3676704,-122.42046879105455
"208","StreetLight","2301 MARKET ST, SAN FRANCISCO, CA, 94114",0.013322879875050835,37.767834313746306,3757260,-122.42301457327487
"209","StreetLight","2350 MARKET ST, SAN FRANCISCO, CA, 94114",0.009235636908260582,37.762868674603475,3757278,-122.42166462708832
"210","StreetLight","Intersection of NOE ST and MARKET ST",0.016548779873094728,37.77091272970889,3803464,-122.42204062375092
"211","StreetLight","2075 MARKET ST, SAN FRANCISCO, CA, 94114",0.02570075482351367,37.78009058113553,3757394,-122.42106259546222
"212","StreetLight","2301 MARKET ST, SAN FRANCISCO, CA, 94114",0.008984023126928815,37.763658661510085,3757264,-122.4286588525723
"213","StreetLight","2144 MARKET ST, SAN FRANCISCO, CA, 94114",0.017535160703845077,37.77245874017711,3757397,-122.42536077601054
